customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class
16,136,16.0,14.0,5,13,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0,1,fresh_regulars
17,137,53.0,18.1,1,15,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0,1,fresh_regulars
18,138,20.6,17.449999999999996,6,12,19.776,45.038,21.022000000000002,10.374,3.7920000000000003,0.0,0.0,0.0,5.0,1,fresh_regulars
19,143,28.0,16.96,1,23,11.696666666666665,40.056666666666665,35.300000000000004,11.926666666666668,0.0,0.0,1.02,0.0,3.0,1,fresh_regulars
20,146,48.0,3.9400000000000004,2,9,30.215,13.69,21.270000000000003,20.725,0.0,7.99,6.115,0.0,2.0,8,grocery_regulars
21,148,19.0,0.7875000000000001,3,20,28.737500000000004,0.0,30.552500000000002,34.2,5.6425,0.0,0.8675,0.0,4.0,8,grocery_regulars
22,152,31.5,2.1025,7,16,18.39,20.712500000000002,21.3475,17.497500000000002,16.214999999999996,3.7,2.135,0.0,4.0,8,grocery_regulars
23,156,28.0,0.0,4,23,6.98,84.96,8.06,0.0,0.0,0.0,0.0,0.0,1.0,1,fresh_regulars
24,157,14.0,7.49,1,11,67.74,0.0,0.0,32.26,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
25,158,32.75,4.8975,2,19,14.43,24.827499999999997,21.915,23.435,10.282499999999999,5.115,0.0,0.0,4.0,8,grocery_regulars
26,162,25.0,0.0,1,18,6.88,0.0,24.65,43.58,3.7,0.0,0.0,21.19,1.0,2,home_decorators
27,163,24.0,2.811666666666667,1,20,30.258333333333326,22.345,41.376666666666665,5.328333333333333,0.6916666666666668,0.0,0.0,0.0,6.0,8,grocery_regulars
28,169,8.5,15.344999999999999,1,21,30.05,0.0,8.735,61.215,0.0,0.0,0.0,0.0,2.0,2,home_decorators
29,171,39.666666666666664,7.7700000000000005,5,12,18.225,13.985,15.951666666666666,20.138333333333332,4.751666666666666,0.0,26.94666666666667,0.0,6.0,8,grocery_regulars
30,177,26.0,9.91,3,19,82.54,0.0,0.0,17.46,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
31,178,53.5,4.85,7,19,25.7,23.32,21.485,15.395,6.17,7.925,0.0,0.0,2.0,8,grocery_regulars
32,180,80.0,2.78,1,23,23.13,17.26,40.4,6.15,4.68,5.16,3.2,0.0,1.0,8,grocery_regulars
33,181,30.6,4.542,1,21,22.020000000000003,26.048000000000002,28.656,16.892,4.79,0.0,1.59,0.0,5.0,8,grocery_regulars
34,186,27.0,25.95,1,12,22.27,0.0,51.86,6.15,0.0,19.72,0.0,0.0,1.0,9,health_concious
35,187,31.0,2.9324999999999997,2,20,34.12,0.0,31.1375,34.7425,0.0,0.0,0.0,0.0,4.0,8,grocery_regulars
36,191,42.0,7.48,2,8,28.01,6.23,30.64,20.6,14.52,0.0,0.0,0.0,1.0,8,grocery_regulars
37,192,22.333333333333332,13.663333333333334,3,8,8.296666666666667,0.0,0.0,45.28333333333333,40.943333333333335,5.476666666666667,0.0,0.0,3.0,0,beauty_concious
38,195,23.666666666666668,0.33666666666666667,4,12,17.539999999999996,9.273333333333333,56.71666666666667,13.459999999999999,3.01,0.0,0.0,0.0,3.0,5,drink_buyers
40,199,69.0,3.16,4,23,40.14,48.3,7.2,1.58,0.0,0.0,2.78,0.0,1.0,1,fresh_regulars
41,200,41.0,20.261818181818185,1,13,28.030909090909088,39.912727272727274,13.62,7.469090909090909,8.094545454545456,2.8736363636363635,0.0,0.0,11.0,4,loyals
42,211,37.2,6.662000000000001,1,2,17.772,24.938,17.086000000000002,5.176,5.952,0.0,29.076,0.0,5.0,1,fresh_regulars
43,216,25.666666666666668,6.666666666666667,3,15,0.0,0.0,25.176666666666666,74.14999999999999,0.6733333333333333,0.0,0.0,0.0,3.0,2,home_decorators
44,219,51.0,0.0,7,18,60.78,0.0,7.08,0.0,0.0,0.0,32.14,0.0,1.0,8,grocery_regulars
45,220,19.333333333333332,1.8099999999999998,1,14,7.506666666666667,3.81,56.56333333333333,8.976666666666667,14.426666666666668,8.713333333333333,0.0,0.0,3.0,5,drink_buyers
46,223,26.0,23.84,4,19,0.0,13.08,27.6,35.93,14.91,8.48,0.0,0.0,1.0,2,home_decorators
47,224,39.0,1.09,7,18,15.04,18.39,45.89,17.33,3.35,0.0,0.0,0.0,1.0,8,grocery_regulars
48,225,40.86363636363637,18.805,1,1,22.782272727272726,47.90136363636364,14.397727272727273,5.881363636363637,3.627727272727273,0.0,5.411363636363636,0.0,22.0,4,loyals
49,247,5.0,0.0,3,14,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2,home_decorators
50,248,31.166666666666668,10.475,7,12,20.966666666666665,16.063333333333336,54.37833333333334,5.233333333333333,2.111666666666667,1.2483333333333333,0.0,0.0,6.0,5,drink_buyers
51,254,69.25,3.1825,3,9,18.8,50.27,15.965,5.815,1.11,0.0,0.0,8.0375,4.0,1,fresh_regulars
52,258,10.0,30.64,7,21,0.0,0.0,0.0,56.1,43.9,0.0,0.0,0.0,1.0,0,beauty_concious
53,259,58.857142857142854,16.72142857142857,6,22,42.28071428571428,44.189285714285724,6.1085714285714285,4.228571428571429,1.6949999999999998,0.2292857142857143,1.270714285714286,0.0,14.0,4,loyals
54,273,60.0,5.13,3,20,31.85,30.42,12.51,11.6,13.61,0.0,0.0,0.0,1.0,1,fresh_regulars
55,274,26.266666666666666,1.3266666666666669,1,16,15.789333333333333,40.083999999999996,7.281333333333333,6.295333333333334,4.274666666666667,0.0,26.276666666666664,0.0,15.0,4,loyals
56,289,43.0,8.726666666666667,7,18,18.73333333333333,39.53333333333333,9.096666666666666,18.12666666666667,10.366666666666667,4.1433333333333335,0.0,0.0,3.0,1,fresh_regulars
57,292,39.0,5.65,4,20,6.03,4.07,49.06,4.93,0.0,0.0,35.92,0.0,1.0,5,drink_buyers
58,293,17.0,13.75,3,14,12.55,0.0,69.47,17.99,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
59,294,34.0,11.39,1,13,0.0,0.0,53.03,15.7,23.44,7.83,0.0,0.0,1.0,5,drink_buyers
60,295,28.1,2.493,5,14,39.48800000000001,35.141999999999996,19.958000000000006,4.823,0.21200000000000002,0.377,0.0,0.0,10.0,4,loyals
61,305,33.625,5.7387500000000005,1,10,23.361250000000002,52.693749999999994,19.715,1.5875,2.64125,0.0,0.0,0.0,8.0,1,fresh_regulars
62,313,11.0,24.63,1,11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2,home_decorators
63,314,5.5,0.14,1,12,0.0,0.0,4.72,0.0,0.0,0.0,95.28,0.0,2.0,7,new_parents
64,316,28.0,13.05,7,14,24.45,0.0,29.22,19.09,23.12,0.0,4.11,0.0,1.0,8,grocery_regulars
65,317,7.5,9.625,7,13,6.215,0.0,9.61,0.0,0.0,0.0,84.18,0.0,2.0,7,new_parents
66,319,38.0,8.73,5,2,17.71,7.04,20.6,51.91,2.74,0.0,0.0,0.0,1.0,2,home_decorators
67,320,38.46666666666667,2.4100000000000006,1,10,12.175333333333333,47.373999999999995,22.514000000000003,7.956666666666666,1.1733333333333333,2.6086666666666662,6.198666666666666,0.0,15.0,4,loyals
68,335,71.75,9.357500000000002,7,23,56.11,17.752499999999998,17.4925,5.757499999999999,2.2375,0.0,0.6475,0.0,4.0,8,grocery_regulars
69,339,37.0,12.776666666666664,3,8,25.323333333333334,28.626666666666665,27.703333333333333,13.076666666666666,4.3966666666666665,0.0,0.0,0.8744444444444445,9.0,4,loyals
70,348,31.125,11.5975,1,1,25.1575,41.5725,11.481250000000001,4.095,1.0175,0.0,16.67875,0.0,8.0,4,loyals
71,356,19.333333333333332,16.786666666666665,1,13,23.19666666666667,46.54999999999999,15.623333333333333,0.0,6.6933333333333325,0.0,1.5933333333333335,6.343333333333334,3.0,1,fresh_regulars
73,360,30.0,6.75,1,19,55.42,0.0,44.58,0.0,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
74,361,33.4,11.384,1,21,23.634,32.986000000000004,33.778000000000006,7.07,1.8059999999999998,0.724,0.0,0.0,5.0,1,fresh_regulars
75,366,27.454545454545453,5.533636363636362,7,17,19.796363636363637,30.272727272727277,6.880000000000001,9.47,9.712727272727271,0.4036363636363637,23.463636363636365,0.0,11.0,4,loyals
76,377,20.5,14.575,5,12,32.510000000000005,0.0,24.97,39.69,2.835,0.0,0.0,0.0,2.0,2,home_decorators
77,379,20.333333333333332,2.9499999999999997,1,11,15.698333333333336,4.685,17.048333333333336,18.3,19.716666666666665,0.4716666666666667,24.078333333333337,0.0,6.0,8,grocery_regulars
78,385,29.0,7.9700000000000015,2,13,15.446666666666665,45.61333333333334,8.133333333333333,30.80666666666667,0.0,0.0,0.0,0.0,3.0,1,fresh_regulars
79,388,23.0,12.09,1,19,60.89,0.0,20.79,16.22,2.1,0.0,0.0,0.0,1.0,8,grocery_regulars
80,389,17.5,2.9899999999999998,4,21,15.9,3.15,44.05,0.0,0.0,0.0,36.905,0.0,2.0,5,drink_buyers
81,391,58.4,18.102,5,10,17.448,38.089999999999996,32.692,1.94,6.888,2.684,0.26,0.0,5.0,1,fresh_regulars
82,396,52.4,7.2780000000000005,3,22,25.324,12.366,33.762,10.706,5.13,0.0,12.712,0.0,5.0,8,grocery_regulars
83,401,21.0,12.035,2,19,12.295,0.0,5.4,73.715,8.59,0.0,0.0,0.0,2.0,2,home_decorators
84,403,21.0,4.22,5,0,19.05,54.07,26.88,0.0,0.0,0.0,0.0,0.0,1.0,1,fresh_regulars
85,404,13.0,1.4,4,22,10.14,8.11,52.34,9.74,0.0,0.0,0.0,19.67,1.0,5,drink_buyers
86,405,48.5,4.03,2,13,38.79,20.655,15.055,16.36,0.0,7.735,1.405,0.0,2.0,8,grocery_regulars
87,407,34.25,12.528749999999999,5,12,34.825,0.0,27.49125,11.78375,23.3725,2.52625,0.0,0.0,8.0,8,grocery_regulars
88,415,19.0,15.13,1,16,19.11,8.83,24.18,47.88,0.0,0.0,0.0,0.0,1.0,2,home_decorators
89,416,35.0,39.77,1,22,11.86,18.13,3.35,54.06,12.6,0.0,0.0,0.0,1.0,2,home_decorators
90,417,16.0,4.02,7,15,12.06,0.0,39.13,5.05,19.55,24.2,0.0,0.0,1.0,9,health_concious
91,418,45.0,4.475,5,16,60.760000000000005,0.0,14.855,14.415000000000001,9.97,0.0,0.0,0.0,2.0,8,grocery_regulars
92,420,30.666666666666668,0.8966666666666666,2,23,38.99,0.0,0.7833333333333333,34.20666666666667,15.173333333333332,6.583333333333333,2.376666666666667,1.8933333333333333,3.0,8,grocery_regulars
93,423,5.0,0.0,2,22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
94,424,50.75,3.01,3,18,87.6825,0.0,5.3125,6.3125,0.695,0.0,0.0,0.0,4.0,8,grocery_regulars
95,428,74.5,4.045,6,3,27.775,14.469999999999999,30.47,9.155000000000001,1.9449999999999998,0.0,7.8950000000000005,0.0,2.0,8,grocery_regulars
96,430,30.5,12.719999999999999,2,12,16.64,26.005,6.935,0.0,2.17,0.0,48.25,0.0,2.0,7,new_parents
97,432,19.0,22.14,7,23,30.34,0.0,69.66,0.0,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
98,433,37.0,5.47,1,18,27.59,0.0,47.58,24.83,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
99,434,24.0,11.79,1,22,69.35,0.0,5.24,25.41,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
100,435,82.25,49.962500000000006,1,21,81.62,0.0,15.832500000000001,1.06,0.0,0.0,1.05,0.0,4.0,3,grocery_shoppers
101,439,16.0,8.875,5,0,0.0,5.085,45.295,0.0,0.0,0.0,49.620000000000005,0.0,2.0,7,new_parents
102,441,72.0,5.79,2,12,20.61,4.6,51.37,23.43,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
103,442,33.0,0.26,1,19,61.61,0.0,4.44,5.845,5.925000000000001,20.48,0.0,1.7,2.0,9,health_concious
104,444,37.5,1.3233333333333333,5,11,7.578333333333333,16.59,28.31,11.615,6.458333333333333,2.3533333333333335,27.093333333333334,0.0,6.0,8,grocery_regulars
105,450,6.0,0.0,6,12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,7,new_parents
106,451,12.0,6.44,4,20,20.26,0.0,79.74,0.0,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
107,452,44.5,6.847499999999999,1,18,11.9375,25.6575,20.2025,13.6825,1.4475,0.0,27.067500000000003,0.0,4.0,1,fresh_regulars
108,456,17.5,1.49,2,16,20.895,38.45,11.965,7.819999999999999,10.010000000000002,10.86,0.0,0.0,2.0,1,fresh_regulars
109,458,21.833333333333332,7.348333333333334,1,16,17.105,0.0,34.71666666666666,21.32,16.021666666666665,5.226666666666667,0.0,5.608333333333333,6.0,8,grocery_regulars
110,464,12.5,16.950000000000003,7,10,11.62,0.0,28.375,28.55,31.455,0.0,0.0,0.0,2.0,2,home_decorators
111,466,19.0,12.97,1,10,0.0,0.0,21.96,69.61,8.43,0.0,0.0,0.0,1.0,2,home_decorators
112,467,39.785714285714285,3.911428571428572,1,16,28.66071428571429,21.74642857142857,23.465000000000003,11.031428571428568,4.558571428571428,0.6378571428571428,9.899285714285712,0.0,14.0,4,loyals
113,481,59.92857142857143,4.242857142857143,7,22,19.569999999999997,57.855,11.209999999999999,9.719285714285716,0.5192857142857142,0.11,1.0178571428571428,0.0,14.0,4,loyals
114,495,26.5,11.704999999999998,7,19,31.096666666666668,28.746666666666666,15.926666666666668,9.82,6.118333333333333,0.0,8.295,0.0,6.0,1,fresh_regulars
116,502,44.0,3.355,2,20,28.824999999999996,53.622499999999995,5.734999999999999,6.865,4.9525,0.0,0.0,0.0,4.0,1,fresh_regulars
117,506,28.5,8.925,6,11,17.38,32.475,13.85,18.255000000000003,7.315,0.0,10.725,0.0,2.0,1,fresh_regulars
118,508,38.333333333333336,3.801666666666667,7,16,38.048333333333325,0.0,25.27666666666666,19.256666666666664,10.376666666666667,0.91,6.13,0.0,6.0,8,grocery_regulars
119,514,21.0,16.8,2,19,22.71,0.0,0.0,33.73,43.55,0.0,0.0,0.0,1.0,0,beauty_concious
120,515,23.857142857142858,5.132857142857143,7,20,34.87285714285714,8.584285714285715,27.80142857142857,16.99,5.2557142857142845,0.0,6.4957142857142856,0.0,7.0,8,grocery_regulars
121,522,76.66666666666667,1.2466666666666668,3,23,11.058333333333335,38.343333333333334,38.88333333333333,7.4799999999999995,4.239999999999999,0.0,0.0,0.0,6.0,1,fresh_regulars
122,528,22.5,13.455,7,12,11.275,0.0,7.87,30.025,17.740000000000002,5.915,27.185000000000002,0.0,2.0,2,home_decorators
123,530,26.0,17.345,1,15,5.53,0.0,0.795,33.985,1.45,0.0,58.24,0.0,2.0,7,new_parents
124,532,140.6,4.018,1,13,23.702,50.446,14.655000000000001,5.869,4.875,0.45299999999999996,0.0,0.0,10.0,4,loyals
125,542,15.8,37.71,7,22,10.664,13.974,2.256,16.39,21.274,0.0,35.44199999999999,0.0,5.0,7,new_parents
126,547,47.5,11.34,6,13,11.305,0.0,30.385,29.51,18.405,0.48,9.92,0.0,2.0,8,grocery_regulars
127,549,33.0,4.41,2,15,42.06,0.0,12.22,18.74,5.25,21.74,0.0,0.0,1.0,9,health_concious
128,550,24.0,0.95,7,18,5.84,16.64,13.82,46.85,16.85,0.0,0.0,0.0,1.0,2,home_decorators
129,551,12.0,25.04,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,6,pet_lovers
130,552,41.0,9.15,3,20,47.72,0.0,26.685000000000002,19.535,6.0649999999999995,0.0,0.0,0.0,2.0,8,grocery_regulars
131,554,40.0,26.09,1,21,4.55,13.71,2.57,33.45,0.0,0.0,45.72,0.0,1.0,2,home_decorators
132,555,29.0,4.89,6,13,19.38,0.0,61.08,19.54,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
133,556,15.0,17.88,7,11,24.94,0.0,8.55,66.51,0.0,0.0,0.0,0.0,1.0,2,home_decorators
134,557,34.0,8.23,1,14,26.32,0.0,16.995,34.620000000000005,20.795,0.0,1.265,0.0,2.0,8,grocery_regulars
135,559,40.0,13.84,4,12,30.903999999999996,1.192,27.104000000000003,24.248,15.718,0.0,0.834,0.0,5.0,8,grocery_regulars
136,564,9.0,17.743750000000002,1,13,5.827500000000001,0.31375,68.4125,7.1325,18.31375,0.0,0.0,0.0,8.0,5,drink_buyers
138,573,54.5,10.0475,3,16,35.42,0.0,19.0025,36.39,5.1325,2.405,0.0,1.6475,4.0,8,grocery_regulars
140,578,23.0,66.86,6,0,0.0,0.0,0.0,46.12,15.34,0.0,38.54,0.0,1.0,2,home_decorators
141,579,18.0,5.68,5,22,0.0,0.0,69.845,0.0,0.0,0.0,0.0,30.155,2.0,5,drink_buyers
142,581,13.5,7.101666666666667,4,11,5.378333333333334,0.0,14.911666666666667,20.101666666666667,11.401666666666666,3.4316666666666666,42.05833333333334,2.716666666666667,6.0,7,new_parents
143,587,20.0,8.37,5,20,26.01,0.0,73.99,0.0,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
144,588,14.0,4.255,7,22,35.875,0.0,37.16,16.595,10.37,0.0,0.0,0.0,2.0,8,grocery_regulars
145,590,13.6,5.162,2,11,10.792000000000002,0.0,0.9880000000000001,28.05,48.114,0.0,0.0,12.053999999999998,5.0,0,beauty_concious
146,595,49.0,17.93375,4,10,13.4425,48.53625,8.44,20.58125,8.26625,0.645,0.08625,0.0,8.0,1,fresh_regulars
147,603,50.0,23.92,4,21,33.99,0.0,6.44,0.0,0.0,0.0,59.57,0.0,1.0,7,new_parents
148,604,38.25,2.2525,4,18,13.8475,0.0,46.3275,27.345000000000002,12.035,0.445,0.0,0.0,4.0,8,grocery_regulars
149,608,8.0,53.29,7,22,13.31,3.76,0.0,41.68,0.0,0.0,41.24,0.0,1.0,2,home_decorators
151,610,37.0,28.21,5,12,23.365000000000002,0.0,9.98,34.03,11.935,0.0,10.66,0.0,2.0,8,grocery_regulars
152,612,10.5,0.7,4,18,9.22,0.0,1.595,10.295,14.51,0.0,64.375,0.0,2.0,7,new_parents
153,614,44.0,24.13,4,11,0.0,0.0,17.71,82.29,0.0,0.0,0.0,0.0,1.0,2,home_decorators
154,615,32.0,11.73,1,0,3.5700000000000003,18.06,70.65,4.945,2.775,0.0,0.0,0.0,2.0,5,drink_buyers
155,617,22.666666666666668,5.346666666666667,6,22,19.596666666666668,0.0,15.99,23.096666666666664,35.053333333333335,6.266666666666667,0.0,0.0,3.0,8,grocery_regulars
156,620,27.0,1.69,1,15,11.32,0.0,0.0,37.45,24.56,26.67,0.0,0.0,1.0,9,health_concious
157,621,12.0,22.06,2,9,0.0,13.79,0.0,60.17,26.05,0.0,0.0,0.0,1.0,2,home_decorators
158,622,30.4,3.6519999999999997,5,11,43.824,2.67,30.885999999999996,9.58,4.516,0.0,0.0,8.522,5.0,8,grocery_regulars
159,627,27.0,7.535,1,23,45.894999999999996,0.0,54.105000000000004,0.0,0.0,0.0,0.0,0.0,2.0,5,drink_buyers
160,629,14.9,4.421,1,20,4.587000000000001,12.23,14.599,14.268,6.678,8.333000000000002,39.306999999999995,0.0,10.0,4,loyals
161,639,48.5,9.135,3,18,47.065,0.0,17.705,28.185,0.815,2.355,3.88,0.0,2.0,8,grocery_regulars
162,641,38.0,13.02,3,9,1.08,49.99,23.66,24.0,0.0,0.0,0.0,1.26,1.0,1,fresh_regulars
163,642,18.88888888888889,6.287777777777778,4,10,28.603333333333335,33.221111111111114,29.778888888888886,0.8966666666666667,6.855555555555556,0.0,0.6411111111111111,0.0,9.0,4,loyals
164,651,26.666666666666668,23.676666666666666,2,14,3.126666666666667,0.0,3.19,78.96666666666667,13.816666666666668,0.0,0.9,0.0,3.0,2,home_decorators
165,654,27.0,26.38,3,22,0.0,0.0,4.76,34.1,53.87,7.26,0.0,0.0,1.0,0,beauty_concious
166,655,16.0,12.64,3,4,0.0,0.0,0.0,0.0,12.52,0.0,0.0,87.48,1.0,6,pet_lovers
167,656,23.333333333333332,2.41,7,18,26.42,20.583333333333332,45.18666666666667,1.55,6.260000000000001,0.0,0.0,0.0,3.0,5,drink_buyers
168,659,27.666666666666668,9.351666666666667,3,14,53.49666666666666,1.2616666666666667,20.58,10.51,11.248333333333333,2.901666666666667,0.0,0.0,6.0,8,grocery_regulars
169,665,23.0,32.17,7,19,55.09,0.0,44.91,0.0,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
170,666,39.5,9.0775,3,14,47.56,16.57,13.102500000000001,14.915,7.8549999999999995,0.0,0.0,0.0,4.0,8,grocery_regulars
171,670,34.0,15.68,6,22,25.86,21.74,27.18,25.22,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
172,671,12.454545454545455,2.27,1,20,21.89090909090909,14.795454545454545,38.00090909090909,11.110000000000001,13.073636363636364,1.1263636363636365,0.0,0.0,11.0,4,loyals
173,682,17.0,13.91,7,12,44.31,0.0,40.13,0.0,15.57,0.0,0.0,0.0,1.0,8,grocery_regulars
174,683,25.857142857142858,4.867142857142857,4,12,24.438571428571432,41.32285714285714,21.195714285714285,6.251428571428572,5.567142857142857,0.0,1.2242857142857144,0.0,7.0,1,fresh_regulars
175,690,37.0,4.99,1,10,34.74,14.77,38.33,2.87,9.29,0.0,0.0,0.0,1.0,8,grocery_regulars
176,691,53.0,7.5,4,9,22.71,0.0,33.09,40.61,3.59,0.0,0.0,0.0,1.0,8,grocery_regulars
177,692,25.0,6.97,1,0,7.48,0.0,35.93,29.4,19.24,0.0,0.0,7.95,1.0,8,grocery_regulars
178,693,24.75,16.23,7,9,17.37,24.405,29.525,11.112499999999999,2.0575,0.0,15.5275,0.0,4.0,8,grocery_regulars
179,697,15.0,16.19,2,12,22.42,0.0,48.9,28.67,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
180,698,34.21052631578947,6.064736842105263,2,21,17.676315789473684,35.6778947368421,19.63473684210526,9.857894736842105,0.4621052631578947,0.10473684210526316,15.304736842105262,0.0,19.0,4,loyals
181,717,22.0,4.72,4,7,35.705,0.0,31.229999999999997,27.535,5.53,0.0,0.0,0.0,2.0,8,grocery_regulars
182,719,32.5,6.005,1,18,20.955,0.0,67.165,10.375,1.505,0.0,0.0,0.0,2.0,5,drink_buyers
183,721,6.0,0.0,7,19,0.0,0.0,0.0,15.39,0.0,0.0,84.61,0.0,1.0,7,new_parents
184,722,31.75,8.982500000000002,1,23,11.8025,30.2925,5.672499999999999,40.065,12.165000000000001,0.0,0.0,0.0,4.0,2,home_decorators
185,726,10.0,3.9,1,0,0.0,0.0,0.0,78.49,21.51,0.0,0.0,0.0,1.0,2,home_decorators
186,727,17.0,5.02,3,17,4.86,0.0,68.7,26.45,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
187,728,9.0,41.19,5,22,0.0,0.0,7.47,31.47,0.0,0.0,61.06,0.0,1.0,7,new_parents
188,729,35.0,6.3,1,9,32.92,0.0,19.35,45.67,2.06,0.0,0.0,0.0,1.0,2,home_decorators
189,730,72.46153846153847,2.5292307692307694,1,14,39.36384615384615,23.85538461538461,16.164615384615384,12.741538461538463,1.9315384615384614,5.940769230769231,0.0,0.0,13.0,4,loyals
190,743,38.0,10.4,7,13,2.28,0.0,13.34,71.41,12.97,0.0,0.0,0.0,1.0,2,home_decorators
191,744,10.5,7.595,7,22,0.0,5.865,21.18,19.78,0.0,0.0,53.17,0.0,2.0,7,new_parents
192,746,39.0,0.0,7,23,13.23,0.0,3.34,51.0,22.28,0.0,0.0,10.15,1.0,2,home_decorators
193,747,10.666666666666666,2.283333333333333,3,8,20.44,0.0,31.00666666666667,37.666666666666664,10.886666666666665,0.0,0.0,0.0,3.0,2,home_decorators
194,750,31.333333333333332,3.605,7,15,25.195000000000004,10.995,14.736666666666666,13.715000000000002,6.408333333333334,4.641666666666667,24.304999999999996,0.0,6.0,8,grocery_regulars
195,756,52.666666666666664,9.723333333333334,2,17,11.399999999999999,33.583333333333336,18.173333333333332,27.546666666666667,6.973333333333334,0.0,2.3266666666666667,0.0,3.0,1,fresh_regulars
196,759,5.0,20.05,3,16,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0,beauty_concious
197,760,25.833333333333332,0.09833333333333333,4,11,19.16,43.35833333333334,8.43,1.1833333333333333,5.956666666666666,20.419999999999998,1.4916666666666665,0.0,6.0,9,health_concious
198,766,29.0,15.3,2,22,15.99,0.0,27.2,29.27,1.58,0.0,0.0,25.96,1.0,8,grocery_regulars
199,767,17.0,-18.880000000000003,3,3,32.595,0.0,50.255,10.425,6.725,0.0,0.0,0.0,2.0,5,drink_buyers
200,769,56.0,1.98,6,12,13.945,40.005,34.015,5.04,3.715,2.315,0.96,0.0,2.0,1,fresh_regulars
201,771,24.0,7.35,4,23,37.72,0.0,26.48,22.43,13.38,0.0,0.0,0.0,1.0,8,grocery_regulars
202,772,28.0,7.46,7,22,0.0,26.81,45.49,27.7,0.0,0.0,0.0,0.0,1.0,5,drink_buyers
